Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
FAQ Page,Firefox 59.0,,2018-04-26 14:17:00,2018-04-26 14:18:01,1m - 1.246s,PASSED
,,,,,,
Test Cases/FAQ page,Firefox 59.0,,2018-04-26 14:17:01,2018-04-26 14:18:01,1m - 0.000s,PASSED
openBrowser,Firefox 59.0,,2018-04-26 14:17:01,2018-04-26 14:17:35,34.046s,PASSED
navigateToUrl,Firefox 59.0,,2018-04-26 14:17:35,2018-04-26 14:17:46,10.656s,PASSED
click,Firefox 59.0,,2018-04-26 14:17:46,2018-04-26 14:17:47,1.086s,PASSED
click,Firefox 59.0,,2018-04-26 14:17:47,2018-04-26 14:17:48,0.398s,PASSED
click,Firefox 59.0,,2018-04-26 14:17:48,2018-04-26 14:17:48,0.464s,PASSED
click,Firefox 59.0,,2018-04-26 14:17:48,2018-04-26 14:17:48,0.289s,PASSED
click,Firefox 59.0,,2018-04-26 14:17:48,2018-04-26 14:17:49,0.266s,PASSED
click,Firefox 59.0,,2018-04-26 14:17:49,2018-04-26 14:17:49,0.272s,PASSED
click,Firefox 59.0,,2018-04-26 14:17:49,2018-04-26 14:17:49,0.303s,PASSED
click,Firefox 59.0,,2018-04-26 14:17:49,2018-04-26 14:17:50,0.457s,PASSED
click,Firefox 59.0,,2018-04-26 14:17:50,2018-04-26 14:17:50,0.283s,PASSED
click,Firefox 59.0,,2018-04-26 14:17:50,2018-04-26 14:17:50,0.281s,PASSED
click,Firefox 59.0,,2018-04-26 14:17:50,2018-04-26 14:17:51,0.284s,PASSED
click,Firefox 59.0,,2018-04-26 14:17:51,2018-04-26 14:17:51,0.299s,PASSED
click,Firefox 59.0,,2018-04-26 14:17:51,2018-04-26 14:17:51,0.264s,PASSED
click,Firefox 59.0,,2018-04-26 14:17:51,2018-04-26 14:17:51,0.297s,PASSED
click,Firefox 59.0,,2018-04-26 14:17:51,2018-04-26 14:17:52,0.244s,PASSED
click,Firefox 59.0,,2018-04-26 14:17:52,2018-04-26 14:17:52,0.308s,PASSED
click,Firefox 59.0,,2018-04-26 14:17:52,2018-04-26 14:17:52,0.295s,PASSED
click,Firefox 59.0,,2018-04-26 14:17:52,2018-04-26 14:17:53,0.355s,PASSED
click,Firefox 59.0,,2018-04-26 14:17:53,2018-04-26 14:17:53,0.334s,PASSED
click,Firefox 59.0,,2018-04-26 14:17:53,2018-04-26 14:17:53,0.256s,PASSED
click,Firefox 59.0,,2018-04-26 14:17:53,2018-04-26 14:17:53,0.258s,PASSED
click,Firefox 59.0,,2018-04-26 14:17:53,2018-04-26 14:17:54,0.244s,PASSED
click,Firefox 59.0,,2018-04-26 14:17:54,2018-04-26 14:17:54,0.241s,PASSED
click,Firefox 59.0,,2018-04-26 14:17:54,2018-04-26 14:17:54,0.244s,PASSED
click,Firefox 59.0,,2018-04-26 14:17:54,2018-04-26 14:17:54,0.259s,PASSED
click,Firefox 59.0,,2018-04-26 14:17:54,2018-04-26 14:17:55,0.259s,PASSED
click,Firefox 59.0,,2018-04-26 14:17:55,2018-04-26 14:17:55,0.245s,PASSED
click,Firefox 59.0,,2018-04-26 14:17:55,2018-04-26 14:17:55,0.261s,PASSED
click,Firefox 59.0,,2018-04-26 14:17:55,2018-04-26 14:17:55,0.250s,PASSED
click,Firefox 59.0,,2018-04-26 14:17:55,2018-04-26 14:17:56,0.239s,PASSED
click,Firefox 59.0,,2018-04-26 14:17:56,2018-04-26 14:17:56,0.242s,PASSED
click,Firefox 59.0,,2018-04-26 14:17:56,2018-04-26 14:17:56,0.265s,PASSED
click,Firefox 59.0,,2018-04-26 14:17:56,2018-04-26 14:17:56,0.268s,PASSED
click,Firefox 59.0,,2018-04-26 14:17:56,2018-04-26 14:17:57,0.247s,PASSED
click,Firefox 59.0,,2018-04-26 14:17:57,2018-04-26 14:17:57,0.276s,PASSED
click,Firefox 59.0,,2018-04-26 14:17:57,2018-04-26 14:17:57,0.256s,PASSED
click,Firefox 59.0,,2018-04-26 14:17:57,2018-04-26 14:17:58,0.284s,PASSED
click,Firefox 59.0,,2018-04-26 14:17:58,2018-04-26 14:17:58,0.337s,PASSED
click,Firefox 59.0,,2018-04-26 14:17:58,2018-04-26 14:17:58,0.320s,PASSED
click,Firefox 59.0,,2018-04-26 14:17:58,2018-04-26 14:17:58,0.296s,PASSED
click,Firefox 59.0,,2018-04-26 14:17:58,2018-04-26 14:17:59,0.296s,PASSED
click,Firefox 59.0,,2018-04-26 14:17:59,2018-04-26 14:17:59,0.260s,PASSED
click,Firefox 59.0,,2018-04-26 14:17:59,2018-04-26 14:17:59,0.297s,PASSED
closeBrowser,Firefox 59.0,,2018-04-26 14:17:59,2018-04-26 14:18:01,1.239s,PASSED
