Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Health Plans and their Products,Firefox 59.0,,2018-04-17 11:02:19,2018-04-17 11:19:57,17m - 37.941s,PASSED
,,,,,,
Test Cases/Health Plans and their Products/Aetna,Firefox 59.0,,2018-04-17 11:02:19,2018-04-17 11:02:35,15.535s,PASSED
openBrowser,Firefox 59.0,,2018-04-17 11:02:19,2018-04-17 11:02:23,3.390s,PASSED
navigateToUrl,Firefox 59.0,,2018-04-17 11:02:23,2018-04-17 11:02:24,0.907s,PASSED
click,Firefox 59.0,,2018-04-17 11:02:24,2018-04-17 11:02:24,0.747s,PASSED
selectOptionByValue,Firefox 59.0,,2018-04-17 11:02:24,2018-04-17 11:02:26,1.803s,PASSED
selectOptionByValue,Firefox 59.0,,2018-04-17 11:02:26,2018-04-17 11:02:27,0.566s,PASSED
selectOptionByValue,Firefox 59.0,,2018-04-17 11:02:27,2018-04-17 11:02:27,0.607s,PASSED
selectOptionByValue,Firefox 59.0,,2018-04-17 11:02:27,2018-04-17 11:02:28,0.637s,PASSED
selectOptionByValue,Firefox 59.0,,2018-04-17 11:02:28,2018-04-17 11:02:29,0.624s,PASSED
selectOptionByValue,Firefox 59.0,,2018-04-17 11:02:29,2018-04-17 11:02:29,0.635s,PASSED
selectOptionByValue,Firefox 59.0,,2018-04-17 11:02:29,2018-04-17 11:02:30,0.653s,PASSED
selectOptionByValue,Firefox 59.0,,2018-04-17 11:02:30,2018-04-17 11:02:31,0.769s,PASSED
selectOptionByValue,Firefox 59.0,,2018-04-17 11:02:31,2018-04-17 11:02:31,0.761s,PASSED
selectOptionByValue,Firefox 59.0,,2018-04-17 11:02:31,2018-04-17 11:02:32,0.686s,PASSED
selectOptionByValue,Firefox 59.0,,2018-04-17 11:02:32,2018-04-17 11:02:33,0.747s,PASSED
selectOptionByValue,Firefox 59.0,,2018-04-17 11:02:33,2018-04-17 11:02:34,0.734s,PASSED
selectOptionByValue,Firefox 59.0,,2018-04-17 11:02:34,2018-04-17 11:02:34,0.811s,PASSED
closeBrowser,Firefox 59.0,,2018-04-17 11:02:34,2018-04-17 11:02:35,0.218s,PASSED
,,,,,,
Test Cases/Health Plans and their Products/Affinity,Firefox 59.0,,2018-04-17 11:02:35,2018-04-17 11:02:43,8.733s,PASSED
openBrowser,Firefox 59.0,,2018-04-17 11:02:35,2018-04-17 11:02:37,2.534s,PASSED
navigateToUrl,Firefox 59.0,,2018-04-17 11:02:37,2018-04-17 11:02:38,0.883s,PASSED
click,Firefox 59.0,,2018-04-17 11:02:38,2018-04-17 11:02:39,0.766s,PASSED
selectOptionByValue,Firefox 59.0,,2018-04-17 11:02:39,2018-04-17 11:02:41,1.699s,PASSED
selectOptionByValue,Firefox 59.0,,2018-04-17 11:02:41,2018-04-17 11:02:41,0.490s,PASSED
selectOptionByValue,Firefox 59.0,,2018-04-17 11:02:41,2018-04-17 11:02:42,0.489s,PASSED
selectOptionByValue,Firefox 59.0,,2018-04-17 11:02:42,2018-04-17 11:02:42,0.523s,PASSED
selectOptionByValue,Firefox 59.0,,2018-04-17 11:02:42,2018-04-17 11:02:43,0.517s,PASSED
selectOptionByValue,Firefox 59.0,,2018-04-17 11:02:43,2018-04-17 11:02:43,0.512s,PASSED
closeBrowser,Firefox 59.0,,2018-04-17 11:02:43,2018-04-17 11:02:43,0.200s,PASSED
,,,,,,
Test Cases/Health Plans and their Products/Agewell New York LLC,Firefox 59.0,,2018-04-17 11:02:43,2018-04-17 11:02:50,6.895s,PASSED
openBrowser,Firefox 59.0,,2018-04-17 11:02:43,2018-04-17 11:02:46,2.565s,PASSED
navigateToUrl,Firefox 59.0,,2018-04-17 11:02:46,2018-04-17 11:02:47,0.875s,PASSED
click,Firefox 59.0,,2018-04-17 11:02:47,2018-04-17 11:02:48,0.723s,PASSED
selectOptionByValue,Firefox 59.0,,2018-04-17 11:02:48,2018-04-17 11:02:49,1.660s,PASSED
selectOptionByValue,Firefox 59.0,,2018-04-17 11:02:49,2018-04-17 11:02:50,0.389s,PASSED
selectOptionByValue,Firefox 59.0,,2018-04-17 11:02:50,2018-04-17 11:02:50,0.410s,PASSED
closeBrowser,Firefox 59.0,,2018-04-17 11:02:50,2018-04-17 11:02:50,0.169s,PASSED
,,,,,,
Test Cases/Health Plans and their Products/Alpha Care of New York Inc,Firefox 59.0,,2018-04-17 11:02:50,2018-04-17 11:02:57,6.599s,PASSED
openBrowser,Firefox 59.0,,2018-04-17 11:02:50,2018-04-17 11:02:53,2.574s,PASSED
navigateToUrl,Firefox 59.0,,2018-04-17 11:02:53,2018-04-17 11:02:54,0.843s,PASSED
click,Firefox 59.0,,2018-04-17 11:02:54,2018-04-17 11:02:55,0.747s,PASSED
selectOptionByValue,Firefox 59.0,,2018-04-17 11:02:55,2018-04-17 11:02:56,1.743s,PASSED
selectOptionByValue,Firefox 59.0,,2018-04-17 11:02:56,2018-04-17 11:02:57,0.395s,PASSED
closeBrowser,Firefox 59.0,,2018-04-17 11:02:57,2018-04-17 11:02:57,0.216s,PASSED
,,,,,,
Test Cases/Health Plans and their Products/Ameritas,Firefox 59.0,,2018-04-17 11:02:57,2018-04-17 11:03:07,10.106s,PASSED
openBrowser,Firefox 59.0,,2018-04-17 11:02:57,2018-04-17 11:03:00,2.562s,PASSED
navigateToUrl,Firefox 59.0,,2018-04-17 11:03:00,2018-04-17 11:03:00,0.959s,PASSED
click,Firefox 59.0,,2018-04-17 11:03:00,2018-04-17 11:03:01,0.805s,PASSED
selectOptionByValue,Firefox 59.0,,2018-04-17 11:03:01,2018-04-17 11:03:03,1.686s,PASSED
selectOptionByValue,Firefox 59.0,,2018-04-17 11:03:03,2018-04-17 11:03:03,0.472s,PASSED
selectOptionByValue,Firefox 59.0,,2018-04-17 11:03:03,2018-04-17 11:03:04,0.524s,PASSED
selectOptionByValue,Firefox 59.0,,2018-04-17 11:03:04,2018-04-17 11:03:05,0.517s,PASSED
selectOptionByValue,Firefox 59.0,,2018-04-17 11:03:05,2018-04-17 11:03:05,0.528s,PASSED
selectOptionByValue,Firefox 59.0,,2018-04-17 11:03:05,2018-04-17 11:03:06,0.555s,PASSED
selectOptionByValue,Firefox 59.0,,2018-04-17 11:03:06,2018-04-17 11:03:06,0.562s,PASSED
selectOptionByValue,Firefox 59.0,,2018-04-17 11:03:06,2018-04-17 11:03:07,0.636s,PASSED
closeBrowser,Firefox 59.0,,2018-04-17 11:03:07,2018-04-17 11:03:07,0.199s,PASSED
,,,,,,
Test Cases/Health Plans and their Products/AmidaCare,Firefox 59.0,,2018-04-17 11:03:07,2018-04-17 11:03:14,6.947s,PASSED
openBrowser,Firefox 59.0,,2018-04-17 11:03:07,2018-04-17 11:03:10,2.568s,PASSED
navigateToUrl,Firefox 59.0,,2018-04-17 11:03:10,2018-04-17 11:03:11,0.942s,PASSED
click,Firefox 59.0,,2018-04-17 11:03:11,2018-04-17 11:03:11,0.789s,PASSED
click,Firefox 59.0,,2018-04-17 11:03:11,2018-04-17 11:03:12,0.250s,PASSED
selectOptionByValue,Firefox 59.0,,2018-04-17 11:03:12,2018-04-17 11:03:13,1.723s,PASSED
selectOptionByValue,Firefox 59.0,,2018-04-17 11:03:13,2018-04-17 11:03:14,0.401s,PASSED
closeBrowser,Firefox 59.0,,2018-04-17 11:03:14,2018-04-17 11:03:14,0.184s,PASSED
,,,,,,
Test Cases/Health Plans and their Products/ArchCare,Firefox 59.0,,2018-04-17 11:03:14,2018-04-17 11:03:21,6.977s,PASSED
openBrowser,Firefox 59.0,,2018-04-17 11:03:14,2018-04-17 11:03:17,2.562s,PASSED
