Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Plans and Products,Firefox 59.0,,2018-04-18 11:03:53,2018-04-18 11:18:24,14m - 31.656s,ERROR
,,,,,,
Test Cases/Plans and Products/Aetna,Firefox 59.0,,2018-04-18 11:03:54,2018-04-18 11:04:19,25.571s,PASSED
openBrowser,Firefox 59.0,,2018-04-18 11:03:55,2018-04-18 11:04:03,7.971s,PASSED
navigateToUrl,Firefox 59.0,,2018-04-18 11:04:03,2018-04-18 11:04:05,2.252s,PASSED
click,Firefox 59.0,,2018-04-18 11:04:05,2018-04-18 11:04:06,1.069s,PASSED
selectOptionByValue,Firefox 59.0,,2018-04-18 11:04:06,2018-04-18 11:04:09,2.499s,PASSED
selectOptionByValue,Firefox 59.0,,2018-04-18 11:04:09,2018-04-18 11:04:10,0.751s,PASSED
selectOptionByValue,Firefox 59.0,,2018-04-18 11:04:10,2018-04-18 11:04:10,0.735s,PASSED
selectOptionByValue,Firefox 59.0,,2018-04-18 11:04:10,2018-04-18 11:04:11,0.678s,PASSED
selectOptionByValue,Firefox 59.0,,2018-04-18 11:04:11,2018-04-18 11:04:12,0.662s,PASSED
selectOptionByValue,Firefox 59.0,,2018-04-18 11:04:12,2018-04-18 11:04:12,0.691s,PASSED
selectOptionByValue,Firefox 59.0,,2018-04-18 11:04:12,2018-04-18 11:04:13,0.731s,PASSED
selectOptionByValue,Firefox 59.0,,2018-04-18 11:04:13,2018-04-18 11:04:14,0.923s,PASSED
selectOptionByValue,Firefox 59.0,,2018-04-18 11:04:14,2018-04-18 11:04:15,0.989s,PASSED
selectOptionByValue,Firefox 59.0,,2018-04-18 11:04:15,2018-04-18 11:04:16,1.017s,PASSED
selectOptionByValue,Firefox 59.0,,2018-04-18 11:04:16,2018-04-18 11:04:17,0.868s,PASSED
selectOptionByValue,Firefox 59.0,,2018-04-18 11:04:17,2018-04-18 11:04:18,0.961s,PASSED
selectOptionByValue,Firefox 59.0,,2018-04-18 11:04:18,2018-04-18 11:04:19,1.080s,PASSED
closeBrowser,Firefox 59.0,,2018-04-18 11:04:19,2018-04-18 11:04:19,0.259s,PASSED
,,,,,,
Test Cases/Plans and Products/Affinity,Firefox 59.0,,2018-04-18 11:04:19,2018-04-18 11:04:30,11.102s,PASSED
openBrowser,Firefox 59.0,,2018-04-18 11:04:19,2018-04-18 11:04:24,4.252s,PASSED
navigateToUrl,Firefox 59.0,,2018-04-18 11:04:24,2018-04-18 11:04:25,1.063s,PASSED
click,Firefox 59.0,,2018-04-18 11:04:25,2018-04-18 11:04:26,0.827s,PASSED
selectOptionByValue,Firefox 59.0,,2018-04-18 11:04:26,2018-04-18 11:04:27,1.774s,PASSED
selectOptionByValue,Firefox 59.0,,2018-04-18 11:04:27,2018-04-18 11:04:28,0.499s,PASSED
selectOptionByValue,Firefox 59.0,,2018-04-18 11:04:28,2018-04-18 11:04:28,0.494s,PASSED
selectOptionByValue,Firefox 59.0,,2018-04-18 11:04:28,2018-04-18 11:04:29,0.564s,PASSED
selectOptionByValue,Firefox 59.0,,2018-04-18 11:04:29,2018-04-18 11:04:30,0.640s,PASSED
selectOptionByValue,Firefox 59.0,,2018-04-18 11:04:30,2018-04-18 11:04:30,0.572s,PASSED
closeBrowser,Firefox 59.0,,2018-04-18 11:04:30,2018-04-18 11:04:30,0.214s,PASSED
,,,,,,
