Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Print Pages,Firefox 59.0,,2018-04-17 09:36:51,2018-04-17 09:39:03,2m - 12.357s,FAILED
,,,,,,
Test Cases/Print Pages/Aetna,Firefox 59.0,,2018-04-17 09:36:51,2018-04-17 09:37:37,45.903s,FAILED
openBrowser,Firefox 59.0,,2018-04-17 09:36:52,2018-04-17 09:36:56,4.143s,PASSED
navigateToUrl,Firefox 59.0,,2018-04-17 09:36:56,2018-04-17 09:36:58,1.937s,PASSED
click,Firefox 59.0,,2018-04-17 09:36:58,2018-04-17 09:36:59,0.899s,PASSED
selectOptionByValue,Firefox 59.0,,2018-04-17 09:36:59,2018-04-17 09:37:01,1.886s,PASSED
click,Firefox 59.0,,2018-04-17 09:37:01,2018-04-17 09:37:03,2.613s,PASSED
click,Firefox 59.0,,2018-04-17 09:37:03,2018-04-17 09:37:06,2.775s,PASSED
click,Firefox 59.0,,2018-04-17 09:37:06,2018-04-17 09:37:37,31.324s,FAILED
,,,,,,
Test Cases/Print Pages/Capital District,Firefox 59.0,,2018-04-17 09:37:37,2018-04-17 09:38:21,43.339s,FAILED
openBrowser,Firefox 59.0,,2018-04-17 09:37:37,2018-04-17 09:37:40,2.783s,PASSED
navigateToUrl,Firefox 59.0,,2018-04-17 09:37:40,2018-04-17 09:37:42,1.792s,PASSED
click,Firefox 59.0,,2018-04-17 09:37:42,2018-04-17 09:37:43,0.897s,PASSED
selectOptionByValue,Firefox 59.0,,2018-04-17 09:37:43,2018-04-17 09:37:45,1.933s,PASSED
click,Firefox 59.0,,2018-04-17 09:37:45,2018-04-17 09:37:47,2.419s,PASSED
click,Firefox 59.0,,2018-04-17 09:37:47,2018-04-17 09:37:50,2.278s,PASSED
click,Firefox 59.0,,2018-04-17 09:37:50,2018-04-17 09:38:21,31.115s,FAILED
,,,,,,
Test Cases/Print Pages/Cigna,Firefox 59.0,,2018-04-17 09:38:21,2018-04-17 09:39:03,42.553s,FAILED
openBrowser,Firefox 59.0,,2018-04-17 09:38:21,2018-04-17 09:38:24,2.738s,PASSED
navigateToUrl,Firefox 59.0,,2018-04-17 09:38:24,2018-04-17 09:38:25,1.780s,PASSED
click,Firefox 59.0,,2018-04-17 09:38:25,2018-04-17 09:38:26,0.965s,PASSED
selectOptionByValue,Firefox 59.0,,2018-04-17 09:38:26,2018-04-17 09:38:28,2.086s,PASSED
click,Firefox 59.0,,2018-04-17 09:38:28,2018-04-17 09:38:31,2.369s,PASSED
click,Firefox 59.0,,2018-04-17 09:38:31,2018-04-17 09:38:32,1.381s,PASSED
click,Firefox 59.0,,2018-04-17 09:38:32,2018-04-17 09:39:03,31.128s,FAILED
