Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Search by Health Plan,Firefox 59.0,,2018-04-17 09:49:23,2018-04-17 09:51:06,1m - 42.940s,FAILED
,,,,,,
Test Cases/Search by Health Plan/HP_Advanced Search - Gender,Firefox 59.0,,2018-04-17 09:49:23,2018-04-17 09:49:33,9.766s,PASSED
openBrowser,Firefox 59.0,,2018-04-17 09:49:24,2018-04-17 09:49:27,3.405s,PASSED
navigateToUrl,Firefox 59.0,,2018-04-17 09:49:27,2018-04-17 09:49:28,1.394s,PASSED
click,Firefox 59.0,,2018-04-17 09:49:28,2018-04-17 09:49:29,0.455s,PASSED
selectOptionByValue,Firefox 59.0,,2018-04-17 09:49:29,2018-04-17 09:49:31,1.843s,PASSED
click,Firefox 59.0,,2018-04-17 09:49:31,2018-04-17 09:49:31,0.262s,PASSED
click,Firefox 59.0,,2018-04-17 09:49:31,2018-04-17 09:49:31,0.242s,PASSED
click,Firefox 59.0,,2018-04-17 09:49:31,2018-04-17 09:49:32,0.633s,PASSED
click,Firefox 59.0,,2018-04-17 09:49:32,2018-04-17 09:49:32,0.279s,PASSED
click,Firefox 59.0,,2018-04-17 09:49:32,2018-04-17 09:49:32,0.287s,PASSED
click,Firefox 59.0,,2018-04-17 09:49:32,2018-04-17 09:49:33,0.501s,PASSED
closeBrowser,Firefox 59.0,,2018-04-17 09:49:33,2018-04-17 09:49:33,0.220s,PASSED
,,,,,,
Test Cases/Search by Health Plan/HP_Advanced Search - Language,Firefox 59.0,"Spanish,\nChinese,\nRussian",2018-04-17 09:49:33,2018-04-17 09:49:50,16.955s,PASSED
openBrowser,Firefox 59.0,,2018-04-17 09:49:33,2018-04-17 09:49:36,2.569s,PASSED
navigateToUrl,Firefox 59.0,,2018-04-17 09:49:36,2018-04-17 09:49:37,1.191s,PASSED
click,Firefox 59.0,,2018-04-17 09:49:37,2018-04-17 09:49:37,0.400s,PASSED
selectOptionByValue,Firefox 59.0,,2018-04-17 09:49:37,2018-04-17 09:49:39,1.763s,PASSED
click,Firefox 59.0,,2018-04-17 09:49:39,2018-04-17 09:49:39,0.260s,PASSED
selectOptionByValue,Firefox 59.0,,2018-04-17 09:49:39,2018-04-17 09:49:42,2.624s,PASSED
click,Firefox 59.0,,2018-04-17 09:49:42,2018-04-17 09:49:43,0.459s,PASSED
click,Firefox 59.0,,2018-04-17 09:49:43,2018-04-17 09:49:43,0.281s,PASSED
selectOptionByValue,Firefox 59.0,,2018-04-17 09:49:43,2018-04-17 09:49:46,2.897s,PASSED
click,Firefox 59.0,,2018-04-17 09:49:46,2018-04-17 09:49:46,0.512s,PASSED
click,Firefox 59.0,,2018-04-17 09:49:46,2018-04-17 09:49:47,0.292s,PASSED
selectOptionByValue,Firefox 59.0,,2018-04-17 09:49:47,2018-04-17 09:49:49,2.843s,PASSED
click,Firefox 59.0,,2018-04-17 09:49:49,2018-04-17 09:49:50,0.562s,PASSED
closeBrowser,Firefox 59.0,,2018-04-17 09:49:50,2018-04-17 09:49:50,0.193s,PASSED
,,,,,,
Test Cases/Search by Health Plan/HP_Advanced Search - Wheelchair,Firefox 59.0,,2018-04-17 09:49:50,2018-04-17 09:49:57,7.320s,PASSED
openBrowser,Firefox 59.0,,2018-04-17 09:49:50,2018-04-17 09:49:53,2.555s,PASSED
navigateToUrl,Firefox 59.0,,2018-04-17 09:49:53,2018-04-17 09:49:54,1.213s,PASSED
click,Firefox 59.0,,2018-04-17 09:49:54,2018-04-17 09:49:54,0.404s,PASSED
selectOptionByValue,Firefox 59.0,,2018-04-17 09:49:54,2018-04-17 09:49:56,1.769s,PASSED
click,Firefox 59.0,,2018-04-17 09:49:56,2018-04-17 09:49:56,0.258s,PASSED
click,Firefox 59.0,,2018-04-17 09:49:56,2018-04-17 09:49:57,0.236s,PASSED
click,Firefox 59.0,,2018-04-17 09:49:57,2018-04-17 09:49:57,0.611s,PASSED
closeBrowser,Firefox 59.0,,2018-04-17 09:49:57,2018-04-17 09:49:57,0.180s,PASSED
,,,,,,
Test Cases/Search by Health Plan/HP_Facilities Only,Firefox 59.0,,2018-04-17 09:49:57,2018-04-17 09:50:05,7.163s,PASSED
openBrowser,Firefox 59.0,,2018-04-17 09:49:58,2018-04-17 09:50:00,2.553s,PASSED
navigateToUrl,Firefox 59.0,,2018-04-17 09:50:00,2018-04-17 09:50:01,1.206s,PASSED
click,Firefox 59.0,,2018-04-17 09:50:01,2018-04-17 09:50:02,0.424s,PASSED
selectOptionByValue,Firefox 59.0,,2018-04-17 09:50:02,2018-04-17 09:50:03,1.701s,PASSED
click,Firefox 59.0,,2018-04-17 09:50:03,2018-04-17 09:50:04,0.243s,PASSED
click,Firefox 59.0,,2018-04-17 09:50:04,2018-04-17 09:50:04,0.743s,PASSED
closeBrowser,Firefox 59.0,,2018-04-17 09:50:04,2018-04-17 09:50:05,0.202s,PASSED
,,,,,,
Test Cases/Search by Health Plan/HP_Providers Only,Firefox 59.0,,2018-04-17 09:50:05,2018-04-17 09:50:11,6.840s,PASSED
openBrowser,Firefox 59.0,,2018-04-17 09:50:05,2018-04-17 09:50:07,2.504s,PASSED
navigateToUrl,Firefox 59.0,,2018-04-17 09:50:07,2018-04-17 09:50:08,1.211s,PASSED
click,Firefox 59.0,,2018-04-17 09:50:08,2018-04-17 09:50:09,0.415s,PASSED
selectOptionByValue,Firefox 59.0,,2018-04-17 09:50:09,2018-04-17 09:50:11,1.655s,PASSED
click,Firefox 59.0,,2018-04-17 09:50:11,2018-04-17 09:50:11,0.250s,PASSED
click,Firefox 59.0,,2018-04-17 09:50:11,2018-04-17 09:50:11,0.502s,PASSED
closeBrowser,Firefox 59.0,,2018-04-17 09:50:11,2018-04-17 09:50:11,0.186s,PASSED
,,,,,,
Test Cases/Search by Health Plan/HP_Search by Health Plan name,Firefox 59.0,,2018-04-17 09:50:11,2018-04-17 09:50:19,7.166s,PASSED
openBrowser,Firefox 59.0,,2018-04-17 09:50:12,2018-04-17 09:50:14,2.541s,PASSED
navigateToUrl,Firefox 59.0,,2018-04-17 09:50:14,2018-04-17 09:50:16,1.558s,PASSED
click,Firefox 59.0,,2018-04-17 09:50:16,2018-04-17 09:50:16,0.433s,PASSED
selectOptionByValue,Firefox 59.0,,2018-04-17 09:50:16,2018-04-17 09:50:18,1.673s,PASSED
click,Firefox 59.0,,2018-04-17 09:50:18,2018-04-17 09:50:18,0.666s,PASSED
closeBrowser,Firefox 59.0,,2018-04-17 09:50:18,2018-04-17 09:50:19,0.199s,PASSED
,,,,,,
Test Cases/Search by Health Plan/HP_Zip code and Radius,Firefox 59.0,,2018-04-17 09:50:19,2018-04-17 09:51:06,47.226s,FAILED
openBrowser,Firefox 59.0,,2018-04-17 09:50:19,2018-04-17 09:50:21,2.549s,PASSED
navigateToUrl,Firefox 59.0,,2018-04-17 09:50:21,2018-04-17 09:50:23,1.970s,PASSED
click,Firefox 59.0,,2018-04-17 09:50:23,2018-04-17 09:50:24,0.402s,PASSED
setText,Firefox 59.0,,2018-04-17 09:50:24,2018-04-17 09:50:24,0.083s,PASSED
openBrowser,Firefox 59.0,,2018-04-17 09:50:24,2018-04-17 09:50:26,2.735s,PASSED
navigateToUrl,Firefox 59.0,,2018-04-17 09:50:26,2018-04-17 09:50:28,1.732s,PASSED
click,Firefox 59.0,,2018-04-17 09:50:28,2018-04-17 09:50:29,0.925s,PASSED
selectOptionByValue,Firefox 59.0,,2018-04-17 09:50:29,2018-04-17 09:50:31,1.651s,PASSED
click,Firefox 59.0,,2018-04-17 09:50:31,2018-04-17 09:50:33,2.276s,PASSED
click,Firefox 59.0,,2018-04-17 09:50:33,2018-04-17 09:50:33,0.250s,PASSED
click,Firefox 59.0,,2018-04-17 09:50:33,2018-04-17 09:51:06,32.527s,FAILED
