Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Search by Provider or Facility,Firefox 59.0,,2018-04-18 11:03:52,2018-04-18 11:05:19,1m - 26.407s,FAILED
,,,,,,
Test Cases/Search by Provider or Facility/PF_Advanced - Gender,Firefox 59.0,,2018-04-18 11:03:53,2018-04-18 11:04:14,20.394s,PASSED
openBrowser,Firefox 59.0,,2018-04-18 11:03:55,2018-04-18 11:04:03,8.358s,PASSED
navigateToUrl,Firefox 59.0,,2018-04-18 11:04:03,2018-04-18 11:04:05,2.019s,PASSED
click,Firefox 59.0,,2018-04-18 11:04:05,2018-04-18 11:04:06,0.755s,PASSED
setText,Firefox 59.0,,2018-04-18 11:04:06,2018-04-18 11:04:06,0.246s,PASSED
click,Firefox 59.0,,2018-04-18 11:04:06,2018-04-18 11:04:07,0.677s,PASSED
click,Firefox 59.0,,2018-04-18 11:04:07,2018-04-18 11:04:07,0.285s,PASSED
click,Firefox 59.0,,2018-04-18 11:04:07,2018-04-18 11:04:11,3.620s,PASSED
click,Firefox 59.0,,2018-04-18 11:04:11,2018-04-18 11:04:11,0.319s,PASSED
click,Firefox 59.0,,2018-04-18 11:04:11,2018-04-18 11:04:11,0.274s,PASSED
click,Firefox 59.0,,2018-04-18 11:04:11,2018-04-18 11:04:13,2.248s,PASSED
closeBrowser,Firefox 59.0,,2018-04-18 11:04:13,2018-04-18 11:04:14,0.281s,PASSED
,,,,,,
Test Cases/Search by Provider or Facility/PF_Advanced - Language,Firefox 59.0,,2018-04-18 11:04:14,2018-04-18 11:04:29,15.612s,FAILED
openBrowser,Firefox 59.0,,2018-04-18 11:04:14,2018-04-18 11:04:18,4.590s,PASSED
navigateToUrl,Firefox 59.0,,2018-04-18 11:04:18,2018-04-18 11:04:19,0.894s,PASSED
click,Firefox 59.0,,2018-04-18 11:04:19,2018-04-18 11:04:20,0.514s,PASSED
setText,Firefox 59.0,,2018-04-18 11:04:20,2018-04-18 11:04:20,0.094s,PASSED
rightClick,Firefox 59.0,,2018-04-18 11:04:20,2018-04-18 11:04:20,0.275s,PASSED
click,Firefox 59.0,,2018-04-18 11:04:20,2018-04-18 11:04:20,0.293s,PASSED
selectOptionByValue,Firefox 59.0,,2018-04-18 11:04:20,2018-04-18 11:04:24,3.323s,PASSED
click,Firefox 59.0,,2018-04-18 11:04:24,2018-04-18 11:04:29,5.271s,PASSED
click,Firefox 59.0,,2018-04-18 11:04:29,2018-04-18 11:04:29,0.209s,FAILED
,,,,,,
Test Cases/Search by Provider or Facility/PF_Advanced - Participating Heath Plan,Firefox 59.0,,2018-04-18 11:04:29,2018-04-18 11:04:42,13.165s,PASSED
openBrowser,Firefox 59.0,,2018-04-18 11:04:29,2018-04-18 11:04:33,3.359s,PASSED
navigateToUrl,Firefox 59.0,,2018-04-18 11:04:33,2018-04-18 11:04:34,1.067s,PASSED
click,Firefox 59.0,,2018-04-18 11:04:34,2018-04-18 11:04:34,0.563s,PASSED
setText,Firefox 59.0,,2018-04-18 11:04:34,2018-04-18 11:04:35,0.129s,PASSED
click,Firefox 59.0,,2018-04-18 11:04:35,2018-04-18 11:04:35,0.288s,PASSED
selectOptionByValue,Firefox 59.0,,2018-04-18 11:04:35,2018-04-18 11:04:37,2.126s,PASSED
click,Firefox 59.0,,2018-04-18 11:04:37,2018-04-18 11:04:42,5.276s,PASSED
closeBrowser,Firefox 59.0,,2018-04-18 11:04:42,2018-04-18 11:04:42,0.248s,PASSED
,,,,,,
Test Cases/Search by Provider or Facility/PF_Advanced - Wheelchair,Firefox 59.0,,2018-04-18 11:04:42,2018-04-18 11:04:55,12.126s,PASSED
openBrowser,Firefox 59.0,,2018-04-18 11:04:43,2018-04-18 11:04:47,4.217s,PASSED
navigateToUrl,Firefox 59.0,,2018-04-18 11:04:47,2018-04-18 11:04:48,0.942s,PASSED
click,Firefox 59.0,,2018-04-18 11:04:48,2018-04-18 11:04:48,0.489s,PASSED
